exp_ID,sim file,crop file,site file,climate file,species params,cv params,position in rotation *,crop ID (as in crop.json),"*separate with ""-"" if the crop has more than one position"
EX11,sim.json,crop.json,site.json,weather2,maize.json,maize/silage-maize.json,0,SM,
EX12,sim.json,crop.json,site.json,weather2,maize.json,maize/silage-maize.json,0,SM,
EX13,sim.json,crop.json,site.json,weather2,maize.json,maize/silage-maize.json,0,SM,
EX14,sim.json,crop.json,site.json,weather2,maize.json,maize/silage-maize.json,0,SM,
EX478,sim.json,crop.json,site.json,weather10,maize.json,maize/silage-maize.json,0,SM,
EX479,sim.json,crop.json,site.json,weather10,maize.json,maize/silage-maize.json,0,SM,
EX480,sim.json,crop.json,site.json,weather10,maize.json,maize/silage-maize.json,0,SM,
EX481,sim.json,crop.json,site.json,weather10,maize.json,maize/silage-maize.json,0,SM,
EX482,sim.json,crop.json,site.json,weather11,maize.json,maize/silage-maize.json,0,SM,
EX483,sim.json,crop.json,site.json,weather11,maize.json,maize/silage-maize.json,0,SM,
EX484,sim.json,crop.json,site.json,weather11,maize.json,maize/silage-maize.json,0,SM,
EX485,sim.json,crop.json,site.json,weather11,maize.json,maize/silage-maize.json,0,SM,
EX486,sim.json,crop.json,site.json,weather13,maize.json,maize/silage-maize.json,0,SM,
EX487,sim.json,crop.json,site.json,weather13,maize.json,maize/silage-maize.json,0,SM,
EX488,sim.json,crop.json,site.json,weather13,maize.json,maize/silage-maize.json,0,SM,
EX489,sim.json,crop.json,site.json,weather13,maize.json,maize/silage-maize.json,0,SM,
EX490,sim.json,crop.json,site.json,weather13,maize.json,maize/silage-maize.json,0,SM,
EX491,sim.json,crop.json,site.json,weather13,maize.json,maize/silage-maize.json,0,SM,
EX492,sim.json,crop.json,site.json,weather13,maize.json,maize/silage-maize.json,0,SM,
EX493,sim.json,crop.json,site.json,weather13,maize.json,maize/silage-maize.json,0,SM,
EX498,sim.json,crop.json,site.json,weather13,maize.json,maize/silage-maize.json,0,SM,
