exp_ID,sim file,crop file,site file,climate file,species params,cv params,position in rotation *,crop ID (as in crop.json),"*separate with ""-"" if the crop has more than one position"
EX23,sim.json,crop.json,site.json,weather3,barley.json,barley/winter-barley.json,0,WB,
EX27,sim.json,crop.json,site.json,weather3,barley.json,barley/winter-barley.json,0,WB,
EX31,sim.json,crop.json,site.json,weather3,barley.json,barley/winter-barley.json,0,WB,
EX35,sim.json,crop.json,site.json,weather3,barley.json,barley/winter-barley.json,0,WB,
EX38,sim.json,crop.json,site.json,weather3,barley.json,barley/winter-barley.json,0,WB,
EX41,sim.json,crop.json,site.json,weather3,barley.json,barley/winter-barley.json,0,WB,
EX44,sim.json,crop.json,site.json,weather3,barley.json,barley/winter-barley.json,0,WB,
EX47,sim.json,crop.json,site.json,weather3,barley.json,barley/winter-barley.json,0,WB,
EX454,sim.json,crop.json,site.json,weather4,barley.json,barley/winter-barley.json,0,WB,
EX455,sim.json,crop.json,site.json,weather4,barley.json,barley/winter-barley.json,0,WB,
EX456,sim.json,crop.json,site.json,weather4,barley.json,barley/winter-barley.json,0,WB,
EX457,sim.json,crop.json,site.json,weather4,barley.json,barley/winter-barley.json,0,WB,
EX466,sim.json,crop.json,site.json,weather7,barley.json,barley/winter-barley.json,0,WB,
EX467,sim.json,crop.json,site.json,weather7,barley.json,barley/winter-barley.json,0,WB,
EX468,sim.json,crop.json,site.json,weather7,barley.json,barley/winter-barley.json,0,WB,
EX469,sim.json,crop.json,site.json,weather7,barley.json,barley/winter-barley.json,0,WB,
EX614,sim.json,crop.json,site.json,weather12,barley.json,barley/winter-barley.json,0,WB,
EX615,sim.json,crop.json,site.json,weather12,barley.json,barley/winter-barley.json,0,WB,
EX616,sim.json,crop.json,site.json,weather12,barley.json,barley/winter-barley.json,0,WB,
EX617,sim.json,crop.json,site.json,weather12,barley.json,barley/winter-barley.json,0,WB,
EX628,sim.json,crop.json,site.json,weather14,barley.json,barley/winter-barley.json,0,WB,
EX629,sim.json,crop.json,site.json,weather14,barley.json,barley/winter-barley.json,0,WB,
EX630,sim.json,crop.json,site.json,weather14,barley.json,barley/winter-barley.json,0,WB,
EX631,sim.json,crop.json,site.json,weather14,barley.json,barley/winter-barley.json,0,WB,
EX642,sim.json,crop.json,site.json,weather12,barley.json,barley/winter-barley.json,0,WB,
EX643,sim.json,crop.json,site.json,weather12,barley.json,barley/winter-barley.json,0,WB,
EX644,sim.json,crop.json,site.json,weather12,barley.json,barley/winter-barley.json,0,WB,
EX645,sim.json,crop.json,site.json,weather12,barley.json,barley/winter-barley.json,0,WB,
EX658,sim.json,crop.json,site.json,weather14,barley.json,barley/winter-barley.json,0,WB,
EX659,sim.json,crop.json,site.json,weather14,barley.json,barley/winter-barley.json,0,WB,
EX660,sim.json,crop.json,site.json,weather14,barley.json,barley/winter-barley.json,0,WB,
EX661,sim.json,crop.json,site.json,weather14,barley.json,barley/winter-barley.json,0,WB,
